name,price,original_price,discount,url
StyleCast x Revolte Men Self Design T-shirt,Rs. 944,Rs. 1749,(46% OFF),https://www.myntra.com/tshirts/stylecast+x+revolte/stylecast-x-revolte-men-self-design-round-neck-t-shirt/32485956/buy
H&M Slim Fit Ribbed Vest Top,Rs. 1499,N/A,N/A,https://www.myntra.com/tshirts/h%26m/hm-slim-fit-ribbed-vest-top/33323238/buy
Mast & Harbour Colourblocked Polo Collar T-shirt,Rs. 311,Rs. 1299,(76% OFF),https://www.myntra.com/tshirts/mast+%26+harbour/mast--harbour-men-navy-blue-red--grey-colourblocked-polo-collar-t-shirt/8325363/buy
Lux Cozi Polo Collar Lounge Tshirts,Rs. 380,N/A,N/A,https://www.myntra.com/lounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138202/buy
The Indian Garage Co Men Printed Polo Collar T-shirt,Rs. 449,Rs. 1549,(71% OFF),https://www.myntra.com/tshirts/the+indian+garage+co/the-indian-garage-co-men-printed-polo-collar-t-shirt/23053324/buy
U.S. Polo Assn. Men Lightweight Lounge T-shirt,Rs. 629,Rs. 699,(10% OFF),https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-men-embroidered-logo-pure-cotton-lightweight-lounge-t-shirt/22492582/buy
Aero Armour Unisex Pure Cotton T-shirt,Rs. 794,Rs. 1499,(47% OFF),https://www.myntra.com/tshirts/aero+armour/aero-armour-unisex-round-neck-pure-cotton-t-shirt/25899798/buy
The Indian Garage Co Striped Polo Collar T-shirt,Rs. 405,Rs. 1399,(71% OFF),https://www.myntra.com/tshirts/the+indian+garage+co/the-indian-garage-co-striped-polo-collar-t-shirt/19814084/buy
Roadster Solid Polo Collar T-shirt,Rs. 299,Rs. 999,(70% OFF),https://www.myntra.com/tshirts/roadster/roadster-men-maroon-solid-polo-collar-t-shirt/3009070/buy
Puma Men Printed Polo T-shirt,Rs. 696,Rs. 1699,(59% OFF),https://www.myntra.com/tshirts/puma/puma-men-brand-logo-printed-slim-fit-polo-collar-cotton-t-shirt/30850262/buy
H&M Textured Jersey Polo Shirt,Rs. 1999,N/A,N/A,https://www.myntra.com/tshirts/h%26m/hm-slim-fit-textured-jersey-polo-shirt/32825880/buy
VESTIDO MODAS Unisex Oversized T-shirt,Rs. 759,Rs. 1899,(60% OFF),https://www.myntra.com/tshirts/vestido+modas/vestido-modas-unisex-abstract-printed-oversized-t-shirt/30092043/buy
glitchez Typography Printed T-shirt,Rs. 143,Rs. 399,(64% OFF),https://www.myntra.com/tshirts/glitchez/glitchez-vibe-check-only-typography-printed-t-shirt/31430034/buy
The Indian Garage Co Men Polo Collar T-shirt,Rs. 449,Rs. 1549,(71% OFF),https://www.myntra.com/tshirts/the+indian+garage+co/the-indian-garage-co-men-solid-polo-collar-t-shirt/23053408/buy
U.S. Polo Assn. V-Neck Cotton Lounge T-shirts,Rs. 594,Rs. 699,(15% OFF),https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-embroidered-logo-v-neck-cotton-lounge-t-shirts/22492580/buy
Lux Cozi Polo Collar Lounge Tshirts,Rs. 380,N/A,N/A,https://www.myntra.com/lounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138200/buy
encore by INVICTUS Men Polo Collar T-shirt,Rs. 309,Rs. 998,(69% OFF),https://www.myntra.com/tshirts/encore+by+invictus/encore-by-invictus-men-burgundy-solid-polo-collar-t-shirt/18515626/buy
U.S. Polo Assn. Logo Lounge T-shirts,Rs. 608,Rs. 699,(13% OFF),https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-embroidered-logo-pure-cotton-lounge-t-shirts/22492612/buy
U.S. Polo Assn. Logo Lounge T-shirts,Rs. 629,Rs. 699,(10% OFF),https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-embroidered-logo-pure-cotton-lounge-t-shirts/22492640/buy
Roadster Men Cotton Polo Collar T-shirt,Rs. 439,Rs. 1099,(60% OFF),https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-men-solid-polo-collar-cotton-t-shirt/21422874/buy
Lux Cozi Polo Collar Lounge Tshirts,Rs. 380,N/A,N/A,https://www.myntra.com/lounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138228/buy
